3.627628787904178580e+02;1.575991646745548564e+02;3.083942595550399801e+01
5.150511049487446371e+02;1.507179494069979455e+02;1.987150215071864068e+01
6.641987776044137490e+02;1.442574308454052812e+02;2.673865484521115832e+01
8.035659666395551994e+02;1.364172543422247941e+02;2.147978216602211887e+01
9.370332862888633372e+02;1.308347752810955171e+02;2.313933966059255454e+01
1.065235517201746234e+03;1.255970622331204822e+02;2.298368314864455897e+01
1.188227410755104302e+03;1.217569989418072964e+02;2.011347611765768306e+01
1.308749515085360827e+03;1.185318957445213073e+02;2.022792118296592889e+01
1.425291202244146916e+03;1.143267936861423095e+02;2.006267784495821616e+01
1.537403102457645446e+03;1.103859108864877498e+02;2.051610786663513863e+01
1.646063024017122416e+03;1.074537908744106289e+02;1.844444814525331822e+01
1.752310684206466703e+03;1.049962142687237474e+02;1.920285953926486400e+01
1.856055452554569911e+03;1.022600688790550976e+02;1.799878685347425744e+01
1.956830821964576899e+03;9.957958324140395234e+01;1.868940102156966532e+01
2.055214619037377815e+03;9.794095299901937324e+01;1.706339454561134517e+01
2.152712727962615645e+03;9.598091625723259313e+01;1.769372365323215490e+01
2.247176451551843002e+03;9.338506636233955760e+01;1.930892140695686976e+01
2.339482860687294760e+03;9.155757121816418476e+01;1.804176591910572824e+01
2.430291593988171371e+03;8.998477213411592857e+01;1.760263571255336501e+01
2.519452404955526617e+03;8.860124346832753872e+01;1.770897249171184740e+01
2.607494080924826449e+03;8.698960934232945874e+01;1.589806682087692025e+01
2.693431623640185535e+03;8.546456289402067341e+01;1.733055530600768179e+01
2.778423206712867795e+03;8.418276946752666845e+01;1.577157182639348321e+01
2.861797162575238872e+03;8.228588027400155624e+01;1.602825278380396412e+01
2.942994967260870908e+03;8.082023051901364852e+01;1.711270079666110178e+01
